Scenario ID,Own/Target Ship CPA,Closest Distance (Skewed),Ship 1,Ship 2,Closest Distance (Parallel),Ship 1,Ship 2,Evaluation Time
0,3028.164,342.6795,1,11,128.2214,3,10,0.3529667
1,2891.687,1564.54,1,3,95.33563,4,5,0.3473049
2,3718.764,134.3993,1,7,219.7916,2,5,0.3383595
3,3529.265,513.2211,1,6,285.0336,5,9,0.3412218
4,4486.186,31.94012,8,10,385.5663,1,11,0.345211
5,2880.007,149.3354,1,10,286.7411,2,11,0.3399479
6,3069.908,206.4894,0,8,206.9616,0,8,0.3417363
7,4844.707,201.6863,1,6,1305.808,8,9,0.3415949
8,4047.857,633.2496,5,10,359.7374,10,11,0.3429041
9,2328.303,828.4954,1,8,68.59753,2,3,0.3379946
10,5684.309,343.1074,2,4,838.2847,0,8,0.3413749
11,5622.719,464.9461,6,8,23.70007,2,8,0.3380055
12,4158.769,651.9138,1,4,256.6065,3,11,0.3401585
13,3650.831,287.0858,1,5,987.1234,0,9,0.3369775
14,4950.741,153.68,1,11,713.5678,1,11,0.3396749
15,3278.999,151.4953,1,9,212.2255,6,11,0.3414426
16,5373.524,171.2065,1,3,126.8112,9,11,0.359633
17,5053.339,482.1575,1,10,86.50539,3,11,0.3473954
18,3193.547,374.3588,1,4,420.9331,3,9,0.3403077
19,5388.832,999.5746,1,10,128.1735,4,10,0.3374109
20,4146.097,1203.079,0,5,59.79231,4,7,0.3399415
21,4165.937,203.8134,1,6,682.4335,1,6,0.3402071
22,6348.6,109.6081,1,4,332.214,7,10,0.3413887
23,4506.437,164.6692,2,5,104.2099,4,11,0.3429947
24,3250.99,578.9863,3,9,1394.245,0,6,0.3382587
25,4815.011,13.66427,1,9,933.1063,3,10,0.340251
26,3639.255,9.689036,1,4,25.16132,3,5,0.3434563
27,2883.063,248.4054,1,9,210.4816,3,8,0.3381071
28,4036.686,334.3657,1,2,141.6497,8,10,0.338975
29,3747.056,553.2704,1,2,582.4178,1,2,0.3378658
30,3951.451,696.7656,2,6,472.0112,4,5,0.3345518
31,3987.016,48.98298,1,5,164.9722,1,5,0.3386784
32,3363.869,492.9867,1,8,493.018,1,8,0.3399973
33,5264.886,915.8964,0,5,730.5587,6,7,0.337266
34,3644.752,54.5164,5,10,584.921,0,11,0.3349619
35,4853.999,208.9844,1,11,312.3368,3,10,0.3454733
36,3934.466,290.9956,1,7,988.0095,2,10,0.3404884
37,3581.487,115.3202,1,3,251.5192,4,5,0.3442421
38,3101.323,90.1646,1,5,444.3485,3,6,0.3387938
39,6354.327,199.1748,1,11,155.8829,4,5,0.3384266
40,4898.399,721.5828,1,5,84.37138,5,9,0.3382921
41,4757.377,78.01053,5,11,753.1034,3,11,0.3370323
42,5729.266,559.3981,1,6,1138.582,1,6,0.3408298
43,4232.747,129.5878,0,9,67.07423,2,11,0.3390245
44,6874.521,617.4855,1,4,749.4785,2,8,0.3433495
45,8020.775,387.072,1,4,594.0029,2,3,0.3547192
46,4363.846,85.61113,1,8,359.7698,4,6,0.3507805
47,3720.354,387.729,1,6,402.67,2,5,0.3416958
48,4047.516,407.7333,0,9,428.9954,0,9,0.3374748
49,3935.216,195.5494,1,6,230.9794,3,4,0.3396664
50,4390.251,143.3998,1,20,204.3821,2,17,1.10095
51,4641.203,70.78954,2,17,237.4487,18,21,1.115568
52,3472.192,17.43199,12,16,196.3426,4,21,1.103884
53,7225.64,207.4,1,20,207.2171,1,20,1.096508
54,4382.937,70.33455,6,21,223.3841,5,11,1.184099
55,4430.124,191.7434,2,15,39.68793,2,20,1.105459
56,4166.209,336.8124,1,14,13.44363,2,18,1.128538
57,7926.839,43.25107,1,15,190.1611,14,17,1.092409
58,4788.951,54.43414,4,14,35.50813,8,16,1.094477
59,5865.307,194.9466,0,9,4.587919,2,16,1.099108
60,5385.992,135.3196,8,17,29.56991,3,8,1.087511
61,3913.102,172.1974,1,20,23.5285,14,16,1.096577
62,5609.619,14.31357,5,9,7.160771,15,18,1.087471
63,6008.729,80.64629,1,4,320.0199,11,14,1.093193
64,6895.464,108.6015,4,19,274.896,1,16,1.088638
65,5977.909,237.4848,1,7,14.87879,8,15,1.093868
66,4041.632,133.1016,1,17,170.3879,0,13,1.08522
67,7371.674,253.821,3,9,41.35611,15,16,1.090736
68,4008.45,33.12226,12,20,406.31,3,20,1.076878
69,6407.271,289.6942,0,9,67.07999,6,20,1.09016
70,3353.328,59.48381,1,5,43.04932,2,6,1.083893
71,4497.675,54.38514,7,10,66.82415,2,16,1.089275
72,4653.105,188.3904,1,10,56.40293,8,14,1.090824
73,7316.819,493.3103,1,12,66.04492,15,16,1.086643
74,4657.71,14.1072,1,19,94.30197,14,16,1.083977
75,4083.242,213.6606,3,12,102.1876,3,15,1.090366
76,4350.56,75.75887,1,6,175.9545,10,18,1.093552
77,6886.813,77.50085,1,18,44.69749,15,19,1.102932
78,4257.099,59.96433,0,10,116.1174,17,20,1.145214
79,4302.403,35.23882,1,2,37.67089,1,2,1.10918
80,4058.114,17.7974,8,12,59.93095,1,7,1.095116
81,5595.938,93.49828,1,5,45.56985,16,21,1.094009
82,6041.995,65.05534,4,14,175.3889,8,16,1.093281
83,5275.673,323.1195,1,3,758.3285,4,10,1.085251
84,4790.838,674.7331,1,6,346.147,4,21,1.095531
85,5063.945,196.9771,1,6,7.854433,7,10,1.088104
86,5593.945,377.5305,1,4,112.0283,2,16,1.108944
87,6441.328,133.9019,1,15,59.59988,2,9,1.093365
88,6145.053,115.7364,1,12,305.98,7,17,1.104137
89,5776.657,270.7099,1,21,108.7005,7,11,1.092472
90,4402.146,72.52502,0,10,129.9884,0,10,1.084591
91,6121.619,74.96975,8,16,91.29323,4,5,1.098763
92,5163.505,119.1064,1,14,11.96013,16,20,1.104912
93,4960.164,264.212,8,12,116.968,7,13,1.104553
94,6027.172,197.5917,0,18,287.9456,9,18,1.094986
95,5806.404,26.11102,7,9,1.294329,8,15,1.092636
96,5986.994,74.74982,1,5,53.11527,4,20,1.099564
97,6184.353,40.7294,7,8,47.40277,3,16,1.191925
98,6735.122,46.83369,3,9,395.8097,8,14,1.11132
99,6186.453,149.4285,1,12,14.60589,11,21,1.09951
