Scenario ID,Own/Target Ship CPA,Closest Distance (Skewed),Ship 1,Ship 2,Closest Distance (Parallel),Ship 1,Ship 2,Evaluation Time
0,1708.684,37.06628,0,5,152.8465,0,5,0.3499163
1,1257.679,1257.679,0,1,64.00297,8,11,0.3403879
2,1950.835,1005.593,6,11,1110.757,1,11,0.3375825
3,1640.446,582.6874,4,6,166.0677,1,5,0.3387768
4,2208.731,1043.743,2,11,288.6233,6,9,0.3409646
5,1839.844,798.907,0,9,79.94529,3,11,0.3404658
6,1792.197,175.3834,4,9,12.10171,2,4,0.3413153
7,1479.948,1210.965,6,8,199.0782,5,11,0.3401952
8,1726.695,192.3855,7,8,416.805,1,9,0.3411796
9,1832.786,392.8399,9,10,368.4991,3,10,0.3572021
10,2178.551,1939.505,1,3,382.8306,2,7,0.3456721
11,2053.971,788.3456,2,5,296.9571,2,9,0.3371019
12,2009.425,43.77781,0,11,334.9927,0,11,0.3425245
13,1798.101,72.67513,0,5,227.4453,0,5,0.3580613
14,1271.721,474.6713,2,4,59.81782,5,6,0.3458052
15,2068.953,249.8964,0,3,21.42096,2,4,0.3385954
16,1664.839,347.3636,2,6,486.5402,4,10,0.3435163
17,1819.5,553.5579,5,10,631.1205,5,11,0.3406425
18,2153.834,6.493701,3,6,558.0707,1,6,0.3401084
19,1512.749,50.29213,4,5,105.5918,1,2,0.3432994
20,1494.839,1357.621,6,9,8.485243,2,6,0.3386035
21,1410.867,1001.243,8,11,1002.794,7,9,0.3378334
22,1844.589,592.549,8,10,720.8671,3,11,0.3425875
23,1655.636,60.57423,1,3,60.59658,1,3,0.3440189
24,1204.622,111.1747,0,6,175.6383,0,6,0.3448906
25,1898.718,592.1403,0,7,202.451,1,9,0.3450699
26,1807.6,36.87607,5,10,55.35517,7,9,0.3403549
27,1597.24,1597.24,0,1,1463.017,2,7,0.3393183
28,1687.617,807.6887,1,7,11.05217,4,10,0.3419294
29,1590.391,378.2612,2,7,57.10456,8,11,0.3363161
30,1659.367,0.4003043,1,5,1077.031,7,9,0.3479452
31,1245.482,1006.503,0,3,466.0153,2,10,0.339716
32,1696.173,37.53786,2,7,1152.527,4,10,0.3389626
33,1548.32,1078.666,4,9,120.4428,4,7,0.3417101
34,2357.058,311.7278,4,9,257.0407,1,10,0.3388405
35,1253.748,1254.01,2,6,106.7128,2,5,0.3362865
36,2318.739,212.7883,0,8,76.93005,1,5,0.3434191
37,1564.686,1077.404,5,11,990.4511,5,8,0.339406
38,1754.184,1061.751,0,2,446.0771,4,10,0.3410368
39,1443.588,698.7357,0,4,847.4098,7,10,0.3418369
40,1545.276,382.1884,7,9,26.42939,5,8,0.3490286
41,2070.508,602.1591,0,5,115.1867,2,8,0.33776
42,1717.844,219.8429,3,4,1238.768,5,7,0.3393383
43,1697.185,1244.918,1,8,755.5466,9,11,0.3448515
44,1623.375,609.1294,5,8,296.4699,2,4,0.3418579
45,2121.311,90.30762,0,4,166.6318,1,5,0.3402176
46,2283.711,136.4106,7,10,307.1823,8,11,0.3391171
47,1210.281,686.4875,8,11,6.087097,7,11,0.3408794
48,1719.372,322.8641,4,7,443.9641,1,5,0.3391666
49,1744.66,510.5974,0,9,646.1294,1,5,0.3444157
50,1338.391,235.7495,3,14,14.99553,11,17,1.096292
51,1847.165,31.40476,16,20,237.6668,8,16,1.10927
52,1609.478,128.2506,0,12,223.9893,4,19,1.11134
53,1086.145,402.8991,0,6,67.08398,12,15,1.107727
54,1680.384,595.3367,8,9,241.3764,10,17,1.105083
55,1090.645,295.7408,3,4,390.9413,2,9,1.103329
56,1571.647,145.3576,0,7,157.1048,1,7,1.099445
57,1594.745,127.9494,2,11,649.4309,9,21,1.094286
58,1326.107,90.92813,1,21,186.9424,1,11,1.092371
59,1984.655,370.5359,4,10,232.5991,15,21,1.110445
60,1840.988,33.32205,8,19,186.954,4,14,1.096937
61,2327.957,358.5485,0,5,7.055,17,20,1.108412
62,2220.047,128.5623,5,20,22.94607,1,6,1.11763
63,2239.929,406.8902,6,7,532.7619,8,11,1.091194
64,2296.344,281.5072,12,14,76.32539,3,14,1.098175
65,1711.422,82.52221,3,19,49.2298,15,17,1.107647
66,1378.93,14.88329,0,18,11.91944,11,19,1.110455
67,1218.96,153.6404,0,9,278.3481,1,9,1.112034
68,1531.235,343.612,9,19,277.0533,10,18,1.100502
69,1391.072,437.8078,4,5,149.1086,14,15,1.09169
70,1537.94,278.9306,0,10,51.22097,1,10,1.098782
71,1567.367,8.183244,0,5,315.5018,5,6,1.112049
