Scenario ID,Own/Target Ship CPA,Closest Distance (Skewed),Ship 1,Ship 2,Closest Distance (Parallel),Ship 1,Ship 2,Evaluation Time
0,4853.599,553.7473,2,4,128.2214,3,10,0.3520993
1,6955.623,154.6712,2,4,156.1581,3,8,0.34061
2,6319.206,348.3925,0,4,38.86361,7,11,0.3416654
3,5326.772,154.5426,1,8,285.0336,5,9,0.3453569
4,3791.095,31.94012,8,10,881.0156,0,4,0.3401065
5,2797.583,91.92627,7,10,813.4791,9,10,0.3410251
6,7725.932,89.78432,5,8,865.8512,1,2,0.3359482
7,1494.745,497.9758,0,8,27.88424,3,9,0.3370228
8,5166.805,320.5038,1,5,277.2945,5,11,0.34988
9,2785.835,530.2922,0,4,39.86685,2,8,0.3396654
10,2549.511,772.0984,1,6,421.0533,3,5,0.3398271
11,4960.656,274.2534,5,10,113.5566,8,9,0.3404126
12,5874.442,997.2227,5,7,1704.1,0,5,0.3331199
13,1946.586,412.2496,0,3,410.1899,0,3,0.3438802
14,3571.445,529.6454,0,5,235.0926,2,7,0.3358417
15,4840.39,283.5791,0,8,450.6815,2,10,0.3385162
16,2101.18,663.2926,0,7,43.90857,3,9,0.3393345
17,2658.795,1180.041,0,8,1101.832,6,11,0.3407831
18,5018.887,667.3652,0,8,670.3679,0,8,0.3361993
19,3600.858,0.7272814,4,9,535.0139,5,8,0.3364162
20,4438.534,541.1912,1,9,660.2164,1,9,0.3391171
21,3362.987,186.2643,0,10,483.5551,7,11,0.3375673
22,5260.061,12.29789,3,6,191.1034,0,9,0.3417959
23,3477.673,164.6692,5,8,674.673,3,10,0.3426056
24,6251.923,9.45799,0,2,275.5605,1,8,0.3389111
25,4316.843,953.666,7,10,56.62178,3,9,0.3403835
26,6425.235,51.04656,1,7,439.4452,2,4,0.3414125
27,6139.107,54.99139,0,5,103.5745,4,10,0.3390255
28,4352.913,20.94103,0,8,335.018,0,8,0.3422651
29,5716.428,246.2208,1,3,320.0528,1,3,0.3350105
30,4398.845,623.9396,0,9,369.0103,2,9,0.3416653
31,5373.142,58.8438,1,3,79.4178,5,6,0.3433332
32,3188.935,288.2258,3,11,110.0649,6,9,0.338254
33,5871.78,668.3332,10,11,745.644,0,4,0.3377123
34,4415.516,557.3381,1,10,225.8818,2,9,0.3394642
35,4252.249,699.6283,5,11,529.1516,9,11,0.3375864
36,3564.961,141.4425,0,5,467.9407,0,5,0.3394241
37,1609.29,285.8934,1,5,260.614,8,9,0.3383417
38,1574.768,158.5051,8,9,266.2822,2,11,0.3361521
39,7024.999,134.4132,0,8,575.9338,4,6,0.3358154
40,6786.382,365.3815,0,6,384.1289,2,8,0.3385382
41,7530.996,113.9436,0,7,442.4811,1,8,0.3450689
42,4406.966,626.6698,0,2,778.4355,1,7,0.3364906
43,3981.157,487.7833,4,8,352.8401,9,11,0.3390884
44,3155.745,27.59362,0,6,330.7889,0,6,0.3401146
45,3584.043,936.7374,0,3,885.073,3,7,0.3374977
46,3286.932,331.4158,0,8,330.0744,0,8,0.3405037
47,3986.054,263.1931,0,4,402.1382,2,9,0.337534
48,3170.843,985.2122,1,11,900.5204,5,9,0.3391552
49,7368.244,17.9958,0,8,95.45867,0,8,0.3411827
50,4782.05,16.34888,2,13,237.9098,10,16,1.098644
51,1758.475,32.56245,1,8,368.6538,3,6,1.115849
52,5851.688,130.1695,3,7,401.448,0,8,1.111589
53,5797.689,20.45744,5,6,247.3947,1,18,1.10533
54,4201.844,325.1437,0,3,59.21552,9,21,1.101877
55,3062.689,352.139,6,15,220.9643,12,19,1.102377
56,5428.84,149.9322,0,12,208.7175,0,16,1.098383
57,7094.867,34.6334,6,21,209.2673,5,15,1.088907
58,5869.771,20.30071,0,11,26.36,4,20,1.103714
59,5454.288,320.2887,5,13,54.51294,18,20,1.102139
60,5900.246,184.7392,0,8,55.73367,6,15,1.098398
61,4642.104,283.0298,10,13,75.60461,14,19,1.098763
62,3023.125,221.0962,14,18,301.3654,4,16,1.097441
63,4908.41,361.9302,0,5,176.0407,5,20,1.107601
64,1773.615,63.64362,0,9,145.0325,0,9,1.101158
65,2963.654,148.7655,0,11,146.7713,0,11,1.12331
66,5794.403,299.0092,2,13,18.34495,8,17,1.100094
67,4634.687,76.6527,1,15,266.8829,0,8,1.0924
68,5416.807,184.9569,0,6,79.27613,13,16,1.101345
69,2391.794,122.6167,2,3,345.2496,9,20,1.100807
70,3486.133,170.0497,2,5,84.96526,3,19,1.097771
71,2591.34,170.4477,0,3,72.13658,2,14,1.110153
72,4479.492,516.7558,1,12,13.18703,4,13,1.10442
73,4960.915,34.51469,11,14,528.7543,0,16,1.107483
74,5246.056,193.4404,6,18,16.37716,10,21,1.097935
75,2184.766,232.7789,0,9,232.8054,0,9,1.102592
76,2301.637,320.1541,3,4,269.2827,6,10,1.102089
77,2422.785,24.7096,0,3,63.97335,11,15,1.09396
78,5046.872,261.5928,6,12,145.1594,5,6,1.109249
79,6374.339,28.47034,0,15,43.422,0,15,1.102051
80,3861.654,69.97786,4,13,250.0398,12,19,1.093697
81,3063.187,118.771,0,14,103.5521,16,21,1.098438
82,4804.385,78.11593,14,17,38.80684,3,19,1.106552
83,4815.18,335.1351,0,8,622.6139,5,8,1.099819
84,7656.754,18.11604,5,21,85.82313,8,13,1.108227
85,4927.673,27.79048,5,11,236.4163,11,13,1.08754
86,3622.055,166.6255,8,17,50.04592,6,15,1.097782
