Scenario ID,Own/Target Ship CPA,Closest Distance (Skewed),Ship 1,Ship 2,Closest Distance (Parallel),Ship 1,Ship 2,Evaluation Time
0,4216.213,553.7473,2,4,128.2214,3,10,0.3503654
1,5415.063,154.6712,2,4,156.1581,3,8,0.340312
2,5174.761,343.9973,0,4,38.86361,7,11,0.3413939
3,3998.971,785.1126,1,8,285.0336,5,9,0.3412926
4,4927.214,31.94012,8,10,867.8775,0,4,0.3388398
5,3164.115,91.92627,7,10,813.4791,9,10,0.3395178
6,5799.425,89.78432,5,8,857.8367,0,7,0.3334033
7,3669.495,17.63321,1,6,27.88424,3,9,0.3357916
8,3937.515,476.9019,0,3,277.2945,5,11,0.3477838
9,4488.049,538.4376,0,4,39.86685,2,8,0.339849
10,3605.619,969.5318,0,6,421.0533,3,5,0.3373146
11,4399.196,274.2534,5,10,113.5566,8,9,0.3393226
12,4801.056,997.2227,5,7,1704.1,0,5,0.3330445
13,3779.692,412.2496,0,3,410.1899,0,3,0.3426528
14,5021.05,529.6454,0,5,235.0926,2,7,0.3338799
15,5169.267,283.5791,0,8,450.6815,2,10,0.3369141
16,4788.217,732.6611,0,7,43.90857,3,9,0.3405118
17,4495.769,1155.764,1,10,1101.832,6,11,0.3395987
18,5555.834,666.2947,0,8,669.7241,0,8,0.3404541
19,3456.513,0.7272814,4,9,535.0139,5,8,0.3347163
20,3273.607,909.7384,0,8,800.0961,2,11,0.3380857
21,4699.099,192.2414,0,10,483.5551,7,11,0.3355379
22,4599.711,12.29789,3,6,195.6006,0,9,0.3402977
23,4501.487,164.6692,5,8,674.673,3,10,0.3416166
24,4481.758,9.45799,0,2,350.9578,0,2,0.3374481
25,5097.446,953.666,7,10,56.62178,3,9,0.3418007
26,4866.7,169.3938,0,9,439.4452,2,4,0.3400602
27,4522.343,60.66005,0,5,103.5745,4,10,0.3371954
28,5438.956,20.94103,0,8,335.018,0,8,0.343194
29,4532.069,1257.578,1,3,991.7878,5,9,0.3341494
30,4952.027,623.9396,0,9,369.0103,2,9,0.340292
31,4140.206,734.7982,1,3,79.4178,5,6,0.341465
32,5226.459,288.2258,3,11,110.0649,6,9,0.3359318
33,4308.402,668.3332,10,11,745.7113,0,4,0.3362894
34,3406.762,705.5012,0,10,225.8818,2,9,0.3379507
35,4923.102,699.6283,5,11,529.1516,9,11,0.336236
36,5117.537,139.4776,0,5,467.6466,0,5,0.3377094
37,3610.689,305.8877,1,5,249.6743,7,11,0.3414173
38,4698.092,247.937,2,8,888.3944,4,6,0.335721
39,4288.028,885.6663,0,8,701.3203,5,11,0.3381014
40,6253.325,365.3815,0,6,384.1289,2,8,0.3370266
41,5376.662,113.9436,0,7,490.2845,0,3,0.3419466
42,4415.581,626.6698,0,2,779.6095,1,7,0.334116
43,4305.091,487.7833,4,8,352.8401,9,11,0.3380318
44,3898.62,25.61901,0,6,325.3652,0,6,0.3388529
45,3144.757,938.5112,0,3,885.073,3,7,0.3352032
46,4305.62,320.1883,0,8,319.0076,0,8,0.3396187
47,5893.977,264.2964,0,4,402.1382,2,9,0.3349781
48,5376.696,1041.744,1,11,900.5204,5,9,0.3375015
49,5576.268,18.54095,0,8,91.32745,0,8,0.3397484
50,4389.458,16.34888,2,13,237.9098,10,16,1.092079
51,3323.687,346.964,4,14,368.6538,3,6,1.110807
52,4483.625,4.945649,3,6,505.9458,0,12,1.098309
53,4122.061,177.2758,2,6,126.7556,3,11,1.096386
54,5231.293,601.1063,10,13,419.6909,9,17,1.08971
55,5067.064,269.1003,0,8,78.32346,11,18,1.101978
56,4085.968,360.1209,14,15,121.547,8,16,1.095654
57,6076.526,34.6334,2,17,5.907909,11,19,1.081295
58,4208.362,414.719,11,21,140.7303,4,19,1.101463
59,4229.846,22.57784,4,8,1.249713,11,16,1.098413
60,5769.728,173.0537,0,4,94.27155,7,12,1.104578
61,3773.103,16.67547,10,14,273.9417,15,16,1.09989
62,5361.781,381.5251,3,7,86.19543,6,14,1.093309
63,4652.394,214.3061,10,11,494.3345,6,8,1.099369
64,5197.152,84.64802,0,14,431.909,0,14,1.088715
65,4350.091,55.42596,0,10,20.94574,3,20,1.084591
66,4587.604,2.173697,2,5,447.8779,0,3,1.104561
67,4238.87,256.2756,4,15,461.2401,0,7,1.101002
68,5218.016,26.53076,12,18,23.33585,5,18,1.102421
69,3582.432,276.7617,6,19,176.775,2,21,1.099739
70,4675.646,76.9181,11,14,143.7298,14,17,1.107281
71,4942.858,170.4477,0,2,218.139,0,2,1.09647
72,6537.048,27.27367,0,19,167.0732,0,19,1.101257
73,3612.365,0.9470775,0,11,75.22133,0,11,1.083569
74,4573.876,45.12504,17,21,94.26414,17,19,1.096115
75,4265.014,229.0189,0,8,229.0583,0,8,1.098011
76,3373.292,144.0723,0,16,32.75641,4,15,1.095207
77,4153.885,79.6695,8,12,56.71758,5,16,1.093834
78,5503.675,171.0454,0,21,47.98507,10,19,1.092793
79,4445.102,0.9790732,2,13,161.2043,0,15,1.090477
80,3356.492,96.02779,4,18,50.02354,3,7,1.106831
81,3663.129,295.1791,0,5,205.5801,7,18,1.084621
82,3966.592,48.49921,0,11,6.706072,4,10,1.098373
83,5091.531,106.3501,0,11,556.8681,5,15,1.082851
84,3794.987,165.5383,1,11,281.0645,3,17,1.086311
85,3423.556,27.79048,11,17,232.5605,7,15,1.095894
86,4647.886,382.4789,10,12,357.8648,18,21,1.091133
87,4084.523,277.6967,12,18,50.4506,4,10,1.087173
88,6471.717,97.61388,0,15,252.4666,6,17,1.093109
89,6493.707,590.0035,0,6,36.09537,8,21,1.093334
90,3988.368,638.1607,11,17,34.55838,6,11,1.081894
91,3587.859,151.7946,1,4,45.21935,2,14,1.092888
92,5218.439,58.50013,12,20,27.65432,3,9,1.086418
93,4173.378,148.5923,4,16,253.7869,20,21,1.093674
94,4685.492,9.919908,0,12,39.50249,13,19,1.086456
95,4634.709,149.0074,5,19,211.3669,16,21,1.108665
96,4793.793,256.4272,0,9,182.1921,2,6,1.10173
97,3542.789,173.995,4,7,72.0491,15,20,1.090485
98,3012.021,378.0641,1,13,33.9603,4,7,1.105995
99,4880.065,91.09239,0,3,50.56798,3,13,1.101547
