Scenario ID,Own/Target Ship CPA,Closest Distance (Skewed),Ship 1,Ship 2,Closest Distance (Parallel),Ship 1,Ship 2,Evaluation Time
0,1710.111,554.9847,1,9,620.7036,0,6,0.3722165
1,622.1435,622.1435,0,1,529.6241,3,8,0.3591298
2,770.4094,553.4794,1,3,616.46,0,11,0.3677537
3,1017.153,535.4113,1,9,668.2248,5,9,0.3742263
4,626.8009,626.8009,0,1,603.0448,0,3,0.3642795
5,1210.845,563.1262,0,4,508.7865,0,4,0.3700941
6,619.1407,561.5308,1,2,638.603,5,8,0.3933859
7,575.4698,552.0215,3,9,524.9492,3,10,0.3578303
8,628.0616,549.9755,1,6,554.8803,5,11,0.3734045
9,596.2285,589.8803,8,10,554.8719,8,10,0.3544493
10,1447.446,405.9799,0,9,551.2952,3,5,0.3880048
11,552.4073,552.4073,0,1,771.2202,8,9,0.3576546
12,621.4025,215.9582,1,5,597.6161,0,4,0.3516798
13,1113.709,556.1415,0,8,506.4615,0,8,0.3658748
14,755.368,755.368,0,1,551.8037,9,11,0.3550129
15,607.6745,605.4117,2,10,807.4023,2,10,0.3522849
16,624.2251,624.2251,0,1,689.2147,3,9,0.3549523
17,656.3135,563.9172,1,8,557.8307,0,4,0.3664789
18,622.4396,610.9312,1,3,622.9118,0,6,0.3620429
19,574.7332,551.4534,1,4,912.5206,5,8,0.3599901
20,938.5089,552.3458,1,9,526.3423,0,9,0.3612204
21,1036.247,575.4117,1,8,556.0468,7,11,0.3681059
22,592.7624,570.4443,2,9,466.376,2,9,0.3693113
23,739.4205,610.5591,1,6,674.673,3,10,0.3550701
24,567.5585,567.5585,0,1,945.1728,2,8,0.3525696
25,793.4236,701.1396,0,4,563.0693,3,9,0.3560343
26,563.0895,556.5363,1,11,439.4452,2,4,0.3640356
27,570.4548,570.4548,0,1,713.2853,0,11,0.3574514
28,555.0824,555.0824,0,1,987.0512,6,9,0.3500233
29,823.4856,551.2874,1,3,940.4447,0,11,0.3459091
30,596.0661,596.0661,0,1,559.5203,0,3,0.3538494
31,1105.152,600.0535,0,11,541.524,0,11,0.3631926
32,1245.101,559.272,1,10,570.1456,0,10,0.3562298
33,690.4814,591.6897,1,4,757.7517,6,8,0.3551607
34,567.7767,567.7767,0,1,604.5894,2,8,0.3535929
35,1092.181,504.8121,0,9,546.7803,0,9,0.3533716
36,760.2859,760.2859,0,1,596.2906,6,7,0.3538284
37,612.8695,612.8695,0,1,701.8187,8,9,0.3491459
38,591.2663,483.3478,3,5,571.6056,0,10,0.3698826
39,914.9985,670.4427,1,7,575.9338,4,6,0.3488464
40,672.0552,558.7485,1,4,623.7071,2,8,0.359643
41,811.1042,551.6749,1,8,572.111,3,7,0.368082
42,706.3342,555.3456,1,9,1226.704,0,9,0.3457851
43,598.194,598.194,0,1,555.5961,9,11,0.3619576
44,818.6691,818.6691,0,1,816.643,4,10,0.3611393
45,764.5816,545.9052,1,3,600.0474,0,6,0.3503609
46,671.1421,671.1421,0,1,900.5012,2,5,0.3479061
47,597.4484,552.0798,2,9,529.2218,2,9,0.3556232
48,803.0333,781.7597,1,2,800.767,0,4,0.3536816
49,784.9146,728.9615,1,3,577.3402,3,6,0.3666706
50,1256.139,482.3469,0,18,537.0146,10,16,1.167549
51,653.2225,522.5757,4,14,426.5174,7,11,1.17514
52,815.783,554.7887,1,4,702.613,0,4,1.170511
53,670.9899,309.9472,1,20,521.8439,0,18,1.235647
54,759.7292,526.3294,1,12,544.896,9,21,1.172918
55,1201.46,506.2715,1,14,428.479,2,6,1.153275
56,1024.264,552.7482,1,17,520.3121,0,17,1.175907
57,649.3477,597.0353,1,3,578.4311,0,4,1.137718
58,1032.424,521.7622,18,19,541.7581,8,19,1.185257
59,1454.655,548.0281,0,12,471.6472,0,12,1.201809
60,715.4561,551.4941,7,16,693.9648,10,19,1.191406
61,571.9716,455.9261,2,8,402.2897,2,8,1.164345
62,592.5899,574.6749,1,18,195.8198,14,20,1.198917
