Scenario ID,Own/Target Ship CPA,Closest Distance (Skewed),Ship 1,Ship 2,Closest Distance (Parallel),Ship 1,Ship 2,Evaluation Time
0,974.9044,505.9136,0,2,602.3403,0,6,0.3769325
1,1091.165,745.8713,1,10,529.6241,3,8,0.368317
2,580.8787,580.8787,0,1,632.4916,7,9,0.3624686
3,1128.289,545.1378,0,7,559.1831,7,10,0.3721673
4,714.1531,714.1531,0,1,603.0448,0,3,0.3650796
5,1448.382,580.9066,0,4,515.3004,0,4,0.3717961
6,747.3883,567.6389,1,7,638.603,5,8,0.3542249
7,764.4694,552.0215,3,9,524.9492,3,10,0.3590174
8,1015.15,503.6742,0,5,442.1559,0,5,0.373132
9,709.0627,589.8803,8,10,554.8719,8,10,0.3585019
10,680.1415,552.4988,1,9,551.2952,3,5,0.3605661
11,631.0525,631.0525,0,1,694.9521,0,11,0.3623776
12,619.3653,564.4614,1,5,782.2355,0,6,0.348918
13,1149.458,568.5385,0,8,528.2134,0,8,0.37077
14,567.3307,567.3307,0,1,551.8037,9,11,0.3556437
15,623.7145,605.4117,2,10,807.4023,2,10,0.3519096
16,665.5109,665.5109,0,1,689.2147,3,9,0.3563018
17,831.7955,831.7955,0,1,581.1706,0,4,0.3530545
18,652.3871,652.3871,0,1,622.9118,0,6,0.3510256
19,653.764,567.1794,1,4,912.5206,5,8,0.3606639
20,1376.914,538.7047,1,9,635.7623,0,9,0.3536949
21,633.0985,600.3965,1,8,556.0468,7,11,0.3632536
22,557.1577,557.1577,0,1,466.376,2,9,0.3673067
23,796.8608,552.558,1,6,674.673,3,10,0.3562565
24,632.9893,589.299,1,3,934.7383,0,8,0.3533678
25,789.1939,594.5318,0,4,554.1606,3,9,0.3583117
26,580.2816,580.2816,0,1,439.4452,2,4,0.3598127
27,617.8826,617.8826,0,1,839.9478,4,10,0.3608456
28,617.8652,617.8652,0,1,987.0512,6,9,0.356678
29,795.7796,795.7796,0,1,991.7878,5,9,0.3492994
30,612.5388,612.5388,0,1,559.5203,0,3,0.3595238
31,741.1312,551.9726,1,4,510.3073,0,11,0.3621264
32,1160.985,605.2173,1,10,546.924,0,10,0.3628225
33,778.8778,668.3332,10,11,617.3171,0,6,0.3526115
34,629.3013,629.3013,0,1,604.5894,2,8,0.363204
35,1060.284,558.1368,1,9,568.764,9,11,0.3519926
36,584.6643,553.7116,1,9,528.7885,0,3,0.3866758
37,1118.301,546.7897,0,7,513.2645,0,7,0.357481
38,569.4988,569.4988,0,1,888.3944,4,6,0.364501
39,808.5183,554.5948,1,6,701.3203,5,11,0.3590765
40,1094.494,595.2746,1,4,623.7071,2,8,0.354351
41,782.4007,560.8834,1,11,572.111,3,7,0.3648214
42,706.6472,554.0728,1,9,1226.704,0,9,0.3499184
43,697.6143,657.7999,1,11,555.5961,9,11,0.3633614
44,755.9679,642.9904,1,2,816.643,4,10,0.366127
45,589.9645,587.4435,1,7,624.4822,0,6,0.3448753
46,577.5002,565.6802,1,10,900.5012,2,5,0.3559895
47,837.2269,552.0798,2,9,529.2218,2,9,0.3587761
48,631.0268,631.0268,0,1,603.9945,0,4,0.3526173
49,685.5394,685.5394,0,1,577.3402,3,6,0.3625507
50,1257.175,506.0694,0,18,475.3517,0,18,1.175455
51,573.8656,522.5757,4,14,426.5174,7,11,1.200645
52,1212.697,550.7477,19,21,553.858,0,6,1.180298
53,1220.674,504.3307,5,10,512.787,0,3,1.198769
54,630.3943,528.1041,1,5,490.483,9,17,1.157028
55,1257.575,389.1378,1,20,285.5185,11,18,1.169277
56,951.8051,468.5802,1,19,526.8597,5,21,1.196249
57,587.5015,554.08,16,17,556.3027,16,17,1.137697
58,569.8061,549.6675,3,10,272.8041,3,10,1.178303
59,1051.801,552.465,1,6,550.5488,4,12,1.171654
60,800.0345,569.1763,7,11,534.1816,7,11,1.199242
61,923.1024,569.8582,6,21,578.2131,5,10,1.18317
62,641.702,308.3943,8,9,297.2432,8,9,1.203861
63,1060.619,551.0308,0,4,588.7155,0,3,1.164921
64,593.4207,544.7366,0,20,486.1091,0,20,1.145397
65,580.8807,554.6169,1,8,493.4315,6,7,1.192581
66,600.5766,417.0239,2,21,478.6819,10,17,1.20639
67,1030.935,428.4345,8,15,455.6186,8,15,1.162098
68,2367.572,524.7487,8,11,550.8599,6,10,1.209431
69,1337.391,549.619,1,5,546.5425,2,18,1.20224
70,1208.666,583.8386,1,4,568.6117,0,4,1.164101
71,938.9955,478.896,0,9,478.9421,0,9,1.18951
72,1749.59,425.1063,0,12,541.0904,2,5,1.200024
73,583.8616,436.4855,1,17,550.1068,13,15,1.175022
74,1085.115,504.6354,5,10,521.9865,0,18,1.188896
75,1083.963,478.9212,1,4,530.192,0,11,1.170391
76,1160.085,550.767,5,12,512.8106,12,18,1.167454
77,951.7537,527.8209,9,19,464.733,9,19,1.166641
78,809.8201,550.7034,10,19,530.7962,10,19,1.194702
79,1138.376,527.6317,0,19,483.7946,0,19,1.186352
80,674.6835,499.9519,10,12,552.2164,9,11,1.19471
81,651.835,422.3581,12,20,377.5925,12,21,1.162285
82,1133.987,546.5541,4,10,470.919,14,19,1.17915
83,580.8798,573.3412,1,11,556.8681,5,15,1.125015
84,1256.14,651.7761,8,12,664.5295,13,18,1.148079
85,770.6917,482.0089,0,13,495.6369,0,13,1.174469
86,819.4001,555.057,18,21,521.2886,18,21,1.137325
87,1507.194,541.0805,5,21,548.8351,5,21,1.192112
88,989.512,547.1915,11,17,487.4246,11,17,1.207024
89,605.6825,486.5729,12,13,449.6229,5,13,1.171318
90,992.891,543.9926,11,17,548.1411,17,18,1.164192
91,686.5572,552.9716,1,15,514.661,7,17,1.216614
92,1646.629,529.5837,8,10,459.2838,0,17,1.192482
93,569.6949,270.3622,1,14,524.3423,4,16,1.176865
94,676.5283,561.8488,1,7,576.9594,0,15,1.183197
95,1185.401,365.1553,3,8,434.1082,3,8,1.199127
96,1216.04,493.2567,0,4,451.7762,13,19,1.206894
97,682.7411,556.3629,1,3,572.9935,12,19,1.160034
98,1062.803,275.0667,1,16,541.8589,4,7,1.177933
99,1070.988,428.6269,8,11,485.497,2,3,1.170204
