Scenario ID,Own/Target Ship CPA,Closest Distance (Skewed),Ship 1,Ship 2,Closest Distance (Parallel),Ship 1,Ship 2,Evaluation Time
0,1227.506,551.764,1,2,616.8699,0,6,0.372111
1,1394.42,707.2964,4,5,566.7744,4,5,0.3629713
2,1001.494,551.7753,1,4,569.788,0,8,0.3614472
3,2057.625,586.1539,1,6,554.2874,0,7,0.3727221
4,1651.809,568.2009,1,11,692.3642,1,11,0.3707676
5,1690.337,508.2873,1,10,457.7276,0,2,0.3963506
6,1456.724,664.1539,0,11,663.2357,0,11,0.3616569
7,1572.065,569.7759,2,5,846.4631,0,6,0.3593981
8,1478.394,554.2962,5,11,505.2413,5,11,0.3665137
9,1439.882,872.1899,1,8,620.5153,4,9,0.3692441
10,815.2862,575.0838,2,4,724.0375,0,8,0.3704224
11,1730.19,710.1257,6,8,547.6837,2,8,0.3725457
12,1255.153,576.404,3,11,595.3254,3,11,0.3650532
13,1266.439,566.8632,1,8,839.6893,1,5,0.3555679
14,1766.034,553.9034,0,4,490.3329,0,4,0.3655276
15,1279.306,556.0728,4,9,526.7003,4,9,0.3763056
16,1372.373,545.583,2,6,532.6617,2,6,0.3952866
17,2337.617,756.0952,1,4,596.3401,0,2,0.3804994
18,1321.862,612.0228,1,4,535.6985,3,9,0.3650336
19,1718.674,552.3326,1,9,509.9095,4,10,0.3701696
20,870.7766,715.2524,4,7,637.7419,4,7,0.370574
21,1714.11,370.6334,1,2,627.7498,0,2,0.3601885
22,2281.75,579.8651,0,5,562.6449,7,10,0.3814039
23,2157.252,688.3181,1,3,581.4249,0,10,0.3701496
24,1936.504,578.9863,3,9,655.6534,0,6,0.3558979
25,789.2336,573.1505,1,2,933.1063,3,10,0.3558941
26,1482.534,542.6724,1,4,473.7032,3,5,0.3676805
27,2305.225,565.6333,1,9,564.7805,3,8,0.3573446
28,704.7609,633.2071,1,2,554.0937,0,4,0.3711824
29,1417.448,538.8893,0,8,488.6602,0,8,0.3553085
30,1854.206,555.0713,4,5,426.4605,4,5,0.3587847
31,1487.627,707.5271,0,6,610.3298,0,6,0.3617134
32,1596.073,788.1646,1,5,743.2883,0,6,0.3533182
33,1765.778,951.1511,1,3,730.5587,6,7,0.3594398
34,1713.904,596.1174,1,5,588.4794,0,2,0.3630733
35,963.6058,649.3582,6,11,564.8716,0,9,0.370635
36,1476.639,589.1376,6,8,937.6081,1,7,0.3645611
37,1340.23,517.8231,1,8,653.4501,0,3,0.409503
38,1422.751,621.3712,3,6,532.029,3,6,0.3619995
39,2138.939,429.2455,4,5,275.6049,0,10,0.3701534
40,1515.902,663.0855,1,4,597.115,0,3,0.3686256
41,2855.719,858.5869,1,6,590.3535,0,6,0.363821
