Scenario ID,Own/Target Ship CPA,Closest Distance (Skewed),Ship 1,Ship 2,Closest Distance (Parallel),Ship 1,Ship 2,Evaluation Time
0,1351.93,553.3871,0,3,473.1997,0,3,0.3641145
1,631.1754,733.4906,0,1,561.696,8,11,0.359804
2,616.5405,642.006,0,1,616.5405,0,1,0.3550905
3,547.1741,582.6874,4,6,539.1359,0,3,0.3547206
4,710.1389,625.6772,6,9,569.5152,6,9,0.3723924
5,606.4561,536.7542,3,11,463.3937,3,6,0.3502269
6,562.9502,554.8181,3,8,562.9502,0,1,0.3523145
7,605.0137,478.8532,9,10,478.9039,9,10,0.3906143
8,557.3353,551.3066,7,8,557.3353,0,1,0.362689
9,545.6633,517.5518,4,7,545.6633,0,1,0.36268
10,923.4541,647.6722,2,7,515.3717,2,7,0.3583989
11,658.0381,579.3182,1,2,550.6394,0,2,0.3502588
12,661.5717,621.983,2,4,612.7957,0,3,0.3575163
13,660.2272,700.3154,0,1,582.5303,1,5,0.3604984
14,624.4898,507.6898,2,4,556.2427,9,10,0.3860564
15,663.387,582.5559,2,6,428.785,2,4,0.3613248
16,557.3234,570.4976,2,9,557.3234,0,1,0.3621073
17,702.2078,553.5579,5,10,605.4436,0,9,0.3491359
18,712.9158,554.9164,1,3,712.9158,0,1,0.3595896
19,609.4404,618.6614,6,9,557.9941,7,8,0.3707886
20,553.8652,824.212,4,8,553.8652,0,1,0.3699732
21,553.7362,1001.243,8,11,553.7362,0,1,0.3493519
22,612.2783,592.549,8,10,614.5844,0,1,0.3640079
23,656.5739,550.3682,8,9,630.7008,0,2,0.3710756
24,625.6791,728.6583,0,1,503.894,2,3,0.3608322
25,613.7383,554.4415,1,9,544.9547,3,7,0.3592529
26,660.0189,552.295,5,10,507.7956,7,9,0.3593817
27,715.1334,785.3383,0,1,715.1334,0,1,0.3520479
28,609.3201,662.3569,0,1,609.3201,0,1,0.3589153
29,550.4993,621.0873,2,7,550.4993,0,1,0.3614683
30,882.4713,688.8773,1,5,558.8719,0,11,0.3588886
31,554.0118,570.1688,0,1,554.0118,0,1,0.3546295
32,662.4243,537.3406,2,5,620.1081,0,9,0.3573427
33,539.4675,685.2073,1,4,539.4675,0,1,0.3533344
34,760.0726,461.3457,4,9,512.782,3,5,0.3595886
35,619.9872,767.2634,0,1,519.3174,2,5,0.3587561
36,840.6008,608.4312,1,5,613.3264,1,5,0.3614788
37,865.8046,1077.404,5,11,693.343,0,7,0.3472853
38,850.4463,464.7254,0,6,451.2075,0,6,0.3604317
39,552.0668,715.8904,0,3,552.0668,0,1,0.3567457
40,881.5338,550.6151,5,8,441.4677,5,8,0.3633108
41,658.04,821.3622,2,8,658.04,0,1,0.350275
42,660.447,1274,3,4,660.447,0,1,0.3596096
