Scenario ID,Own/Target Ship CPA,Closest Distance (Skewed),Ship 1,Ship 2,Closest Distance (Parallel),Ship 1,Ship 2,Evaluation Time
0,4294.73,312.3802,1,11,128.2214,3,10,0.3536311
1,2853.678,495.3439,0,2,95.33563,4,5,0.3424549
2,2949.032,21.20383,1,8,193.8881,1,7,0.339146
3,4014.524,435.6566,1,6,285.0336,5,9,0.3426678
4,4479.989,31.94012,8,10,695.848,1,10,0.3402123
5,2205.006,81.18138,0,11,286.7411,2,11,0.3400748
6,2173.277,236.174,4,11,811.0026,2,5,0.3508749
7,2993.314,37.03564,1,6,460.7088,1,6,0.3382127
8,3424.094,495.8258,0,11,359.7374,10,11,0.3434577
9,3402.229,600.6387,1,8,68.59753,2,3,0.3376203
10,5540.352,1.5585,0,8,516.0859,0,8,0.3442979
11,6170.533,464.9461,6,8,23.70007,2,8,0.3386564
12,4471.786,867.7527,10,11,256.6065,3,11,0.3385196
13,2378.614,69.24917,0,9,292.8044,1,5,0.3368435
14,4915.28,158.1334,1,10,359.5934,1,10,0.3393154
15,4442.99,70.00084,1,9,212.2255,6,11,0.3428111
16,3479.991,133.3152,0,4,126.8112,9,11,0.3416915
17,3724.726,321.2188,1,10,86.50539,3,11,0.342926
18,2154.23,26.89629,0,7,420.9331,3,9,0.3461466
19,6689.846,623.782,1,10,128.1735,4,10,0.3363867
20,3309.53,80.24426,0,11,59.79231,4,7,0.3412509
21,3623.989,48.41229,1,2,791.994,2,10,0.3413725
22,5628.403,13.0517,1,4,141.2024,1,4,0.3409319
23,3653.74,164.6692,2,5,104.2099,4,11,0.3451138
24,2975.542,545.588,1,5,780.1769,1,9,0.3375101
25,1753.785,655.3245,0,2,63.89347,1,2,0.3397217
26,1634.944,254.2147,0,2,171.1401,1,2,0.3384209
27,1873.322,374.2648,4,11,14.16009,10,11,0.3400526
28,1941.979,1066.006,0,4,335.2993,1,4,0.3385029
29,1666.672,1028.072,0,8,136.3597,5,6,0.3450279
30,1687.204,812.4621,1,7,11.05217,4,10,0.3485422
31,757.9916,378.2612,2,7,57.10456,8,11,0.3390074
32,1658.238,16.54646,1,5,1077.031,7,9,0.3431425
33,1245.438,1079.03,0,3,466.0153,2,10,0.3362646
34,644.0061,37.53786,2,7,728.1486,0,11,0.3345528
35,1548.835,1078.666,4,9,120.4428,4,7,0.3397312
36,2355.635,311.7278,4,9,258.7654,1,10,0.3332624
37,1253.062,1254.01,2,6,106.7128,2,5,0.3339968
38,2319.102,390.0345,0,8,76.45367,1,5,0.3399906
39,1563.936,1077.404,5,11,990.4511,5,8,0.3357391
40,1752.365,1161.176,0,2,446.0771,4,10,0.3380213
41,1443.06,727.9265,0,4,847.4098,7,10,0.3401308
42,1261.805,382.1884,7,9,26.42939,5,8,0.3487406
43,2069.863,125.1465,0,5,115.1867,2,8,0.3355694
44,1715.665,219.8429,3,4,1238.768,5,7,0.3369579
45,1697.172,51.45014,0,8,189.1989,0,8,0.3401794
46,1622.669,609.1294,5,8,296.4699,2,4,0.3378716
47,2121.002,41.69748,0,10,183.2517,5,8,0.3358517
48,2283.128,136.4106,7,10,307.1823,8,11,0.3358994
49,1210.01,686.4875,8,11,6.087097,7,11,0.3344498
50,3790.5,1245.648,9,11,144.8768,3,4,0.3391266
51,3201.094,526.4911,0,10,94.04736,3,9,0.3391247
52,3095.208,1238.425,0,9,1.15042,7,9,0.3333187
53,2938.688,143.6599,1,8,202.3294,1,8,0.3395596
54,2483.576,7.097207,0,2,339.907,5,10,0.3437805
